energy	cross section	transition
22.751	1.3982e-15	0 0 0 4
24.576	1.0186e-15	0 0 0 5
25.228	1.5619e-15	0 0 0 6
29.782	1.1851e-15	0 0 0 7
30.043	7.8221e-15	0 0 0 8
30.043	7.8222e-15	0 0 0 9
30.043	5.7373e-15	0 0 0 10
32.913	2.1796e-15	0 0 0 11
9.6407	2.72e-16	0 0 1 4
11.465	2.5133e-16	0 0 1 5
12.117	5.365e-16	0 0 1 6
16.671	1.2001e-15	0 0 1 7
16.932	4.0357e-15	0 0 1 8
16.932	4.0358e-15	0 0 1 9
16.933	2.8157e-15	0 0 1 10
19.802	2.8142e-15	0 0 1 11
5.2004	7.922e-15	0 0 2 4
7.0246	6.9937e-15	0 0 2 5
7.6767	6.6974e-15	0 0 2 6
12.231	3.7598e-15	0 0 2 7
12.492	2.2953e-15	0 0 2 8
12.492	2.4936e-15	0 0 2 9
12.492	4.1203e-15	0 0 2 10
15.362	2.0056e-15	0 0 2 11
5.2003	7.922e-15	0 0 3 4
7.0245	6.9937e-15	0 0 3 5
7.6766	6.6974e-15	0 0 3 6
12.23	3.7598e-15	0 0 3 7
12.492	2.5051e-15	0 0 3 8
12.492	2.3066e-15	0 0 3 9
12.492	4.0975e-15	0 0 3 10
15.362	2.0056e-15	0 0 3 11
25.54	1.0416e-12	0 1 0 4
26.13	4.8469e-12	0 1 0 5
28.044	2.6566e-12	0 1 0 6
28.395	3.9353e-12	0 1 0 7
29.495	2.3487e-12	0 1 0 8
33.704	1.985e-12	0 1 0 9
34.521	1.1638e-12	0 1 0 10
36.382	8.5626e-13	0 1 0 11
12.429	6.5354e-13	0 1 1 4
13.019	6.7593e-13	0 1 1 5
14.933	1.0689e-12	0 1 1 6
15.285	2.3423e-12	0 1 1 7
16.384	2.0184e-12	0 1 1 8
20.593	2.8732e-12	0 1 1 9
21.411	1.6295e-12	0 1 1 10
23.271	1.1933e-12	0 1 1 11
7.9891	1.299e-13	0 1 2 4
8.5791	1.4245e-13	0 1 2 5
10.493	4.5622e-13	0 1 2 6
10.844	6.6531e-14	0 1 2 7
11.944	3.1186e-13	0 1 2 8
16.153	7.0728e-14	0 1 2 9
16.97	1.5666e-13	0 1 2 10
18.831	1.1887e-13	0 1 2 11
7.989	3.8985e-13	0 1 3 4
8.579	1.323e-13	0 1 3 5
10.493	2.5644e-13	0 1 3 6
10.844	1.3752e-13	0 1 3 7
11.944	2.2048e-13	0 1 3 8
16.153	1.3163e-13	0 1 3 9
16.97	4.0419e-13	0 1 3 10
18.831	6.7717e-13	0 1 3 11
22.956	8.8418e-14	0 2 0 4
30.562	1.4907e-13	0 2 0 5
31.903	1.3803e-13	0 2 0 6
32.936	1.8777e-13	0 2 0 7
33.249	2.0514e-13	0 2 0 8
34.682	1.7849e-13	0 2 0 9
34.714	1.8754e-13	0 2 0 10
35.162	1.6801e-13	0 2 0 11
9.8458	9.7169e-14	0 2 1 4
17.452	1.1174e-13	0 2 1 5
18.792	2.309e-14	0 2 1 6
19.826	1.6578e-14	0 2 1 7
20.138	3.2093e-14	0 2 1 8
21.571	9.0903e-14	0 2 1 9
21.604	5.4233e-14	0 2 1 10
22.051	7.0928e-14	0 2 1 11
5.4055	2.8002e-14	0 2 2 4
13.011	4.1929e-14	0 2 2 5
14.352	4.2951e-14	0 2 2 6
15.385	5.0317e-14	0 2 2 7
15.698	5.1448e-14	0 2 2 8
17.131	4.7071e-14	0 2 2 9
17.163	5.0974e-14	0 2 2 10
17.611	4.7941e-14	0 2 2 11
5.4054	2.8002e-14	0 2 3 4
13.011	4.1929e-14	0 2 3 5
14.352	4.2951e-14	0 2 3 6
15.385	5.0317e-14	0 2 3 7
15.698	5.1449e-14	0 2 3 8
17.131	4.7071e-14	0 2 3 9
17.163	5.0974e-14	0 2 3 10
17.611	4.7941e-14	0 2 3 11
20.881	1.5312e-12	1 0 0 4
22.705	1.2918e-12	1 0 0 5
23.357	1.1872e-12	1 0 0 6
27.911	5.4892e-13	1 0 0 7
28.172	7.2064e-14	1 0 0 8
28.172	5.9443e-14	1 0 0 9
28.173	4.4117e-13	1 0 0 10
31.042	1.9372e-13	1 0 0 11
11.464	3.2238e-13	1 0 1 4
13.288	2.4949e-13	1 0 1 5
13.941	2.3795e-13	1 0 1 6
18.494	1.0227e-13	1 0 1 7
18.756	2.1257e-13	1 0 1 8
18.756	1.3205e-13	1 0 1 9
18.756	1.8307e-13	1 0 1 10
21.626	7.2817e-14	1 0 1 11
7.6919	3.3493e-14	1 0 2 4
9.5161	2.4503e-14	1 0 2 5
10.168	3.5857e-14	1 0 2 6
14.722	2.9394e-14	1 0 2 7
14.983	1.4766e-13	1 0 2 8
14.983	1.971e-13	1 0 2 9
14.984	1.2508e-13	1 0 2 10
17.854	5.7054e-14	1 0 2 11
6.95	2.2377e-13	1 0 3 4
8.7742	6.977e-13	1 0 3 5
9.4263	7.3078e-13	1 0 3 6
13.98	7.6248e-13	1 0 3 7
14.241	2.3757e-14	1 0 3 8
14.241	1.9268e-14	1 0 3 9
14.242	5.6441e-13	1 0 3 10
17.112	3.293e-13	1 0 3 11
23.669	4.1743e-14	1 1 0 4
24.259	3.5586e-14	1 1 0 5
26.173	7.0117e-14	1 1 0 6
26.525	2.6866e-14	1 1 0 7
27.624	5.4089e-14	1 1 0 8
31.834	2.29e-14	1 1 0 9
32.651	5.3156e-14	1 1 0 10
34.512	7.4657e-14	1 1 0 11
14.253	3.1306e-14	1 1 1 4
14.843	1.0219e-13	1 1 1 5
16.757	9.6443e-14	1 1 1 6
17.108	8.0256e-14	1 1 1 7
18.208	7.9734e-14	1 1 1 8
22.417	4.7289e-14	1 1 1 9
23.234	3.5445e-14	1 1 1 10
25.095	3.1366e-14	1 1 1 11
10.481	4.4424e-14	1 1 2 4
11.071	9.104e-14	1 1 2 5
12.984	5.7524e-14	1 1 2 6
13.336	8.0925e-14	1 1 2 7
14.435	5.4714e-14	1 1 2 8
18.645	5.1855e-14	1 1 2 9
19.462	5.2033e-14	1 1 2 10
21.323	6.8109e-14	1 1 2 11
9.7387	4.3931e-14	1 1 3 4
10.329	7.759e-15	1 1 3 5
12.242	2.6945e-14	1 1 3 6
12.594	1.1415e-14	1 1 3 7
13.694	2.1864e-14	1 1 3 8
17.903	1.7131e-14	1 1 3 9
18.72	2.0507e-14	1 1 3 10
20.581	1.6143e-14	1 1 3 11
21.086	5.7848e-13	1 2 0 4
28.692	9.5345e-13	1 2 0 5
30.032	8.5573e-13	1 2 0 6
31.066	1.1637e-12	1 2 0 7
31.378	1.2784e-12	1 2 0 8
32.811	1.1256e-12	1 2 0 9
32.844	1.1695e-12	1 2 0 10
33.291	1.0534e-12	1 2 0 11
11.669	4.6174e-13	1 2 1 4
19.275	7.7016e-13	1 2 1 5
20.616	7.1312e-13	1 2 1 6
21.649	9.6556e-13	1 2 1 7
21.962	1.0539e-12	1 2 1 8
23.395	9.1768e-13	1 2 1 9
23.427	9.6419e-13	1 2 1 10
23.875	8.6497e-13	1 2 1 11
7.897	2.3758e-13	1 2 2 4
15.503	3.6484e-13	1 2 2 5
16.843	3.7817e-13	1 2 2 6
17.877	4.4942e-13	1 2 2 7
18.189	4.5784e-13	1 2 2 8
19.622	4.1511e-13	1 2 2 9
19.655	4.5257e-13	1 2 2 10
20.102	4.2437e-13	1 2 2 11
7.1551	5.977e-13	1 2 3 4
14.761	6.602e-13	1 2 3 5
16.102	1.4042e-13	1 2 3 6
17.135	1.0134e-13	1 2 3 7
17.447	1.9752e-13	1 2 3 8
18.881	5.1866e-13	1 2 3 9
18.913	3.0566e-13	1 2 3 10
19.361	4.0173e-13	1 2 3 11
20.881	1.5312e-12	2 0 0 4
22.705	1.2918e-12	2 0 0 5
23.357	1.1872e-12	2 0 0 6
27.911	5.4892e-13	2 0 0 7
28.172	8.0547e-14	2 0 0 8
28.172	5.1826e-14	2 0 0 9
28.173	4.403e-13	2 0 0 10
31.042	1.9372e-13	2 0 0 11
11.464	3.2238e-13	2 0 1 4
13.288	2.4949e-13	2 0 1 5
13.941	2.3795e-13	2 0 1 6
18.494	1.0227e-13	2 0 1 7
18.756	2.6679e-13	2 0 1 8
18.756	8.337e-14	2 0 1 9
18.756	1.7753e-13	2 0 1 10
21.626	7.2817e-14	2 0 1 11
7.6918	3.3493e-14	2 0 2 4
9.516	2.4503e-14	2 0 2 5
10.168	3.5857e-14	2 0 2 6
14.722	2.9394e-14	2 0 2 7
14.983	1.1439e-13	2 0 2 8
14.983	2.2699e-13	2 0 2 9
14.984	1.2847e-13	2 0 2 10
17.853	5.7054e-14	2 0 2 11
6.95	2.2377e-13	2 0 3 4
8.7742	6.977e-13	2 0 3 5
9.4263	7.3078e-13	2 0 3 6
13.98	7.6249e-13	2 0 3 7
14.241	2.6743e-14	2 0 3 8
14.241	1.6578e-14	2 0 3 9
14.242	5.6412e-13	2 0 3 10
17.112	3.293e-13	2 0 3 11
23.669	1.8437e-12	2 1 0 4
24.259	8.3705e-12	2 1 0 5
26.173	4.8265e-12	2 1 0 6
26.525	6.854e-12	2 1 0 7
27.624	4.2921e-12	2 1 0 8
31.834	3.596e-12	2 1 0 9
32.651	2.0892e-12	2 1 0 10
34.512	1.5064e-12	2 1 0 11
14.253	6.7585e-13	2 1 1 4
14.843	1.7374e-12	2 1 1 5
16.757	2.2661e-12	2 1 1 6
17.108	1.161e-12	2 1 1 7
18.208	1.669e-12	2 1 1 8
22.417	5.9408e-13	2 1 1 9
23.234	4.2258e-13	2 1 1 10
25.095	5.5912e-13	2 1 1 11
10.48	1.0645e-12	2 1 2 4
11.07	3.0027e-13	2 1 2 5
12.984	3.8094e-13	2 1 2 6
13.336	3.6256e-13	2 1 2 7
14.435	3.2696e-13	2 1 2 8
18.645	3.3464e-13	2 1 2 9
19.462	1.059e-12	2 1 2 10
21.323	2.0643e-12	2 1 2 11
9.7387	1.0877e-12	2 1 3 4
10.329	1.2176e-12	2 1 3 5
12.242	1.858e-12	2 1 3 6
12.594	3.9721e-12	2 1 3 7
13.694	3.5404e-12	2 1 3 8
17.903	5.0977e-12	2 1 3 9
18.72	2.9057e-12	2 1 3 10
20.581	2.1607e-12	2 1 3 11
21.086	5.7848e-13	2 2 0 4
28.692	9.5345e-13	2 2 0 5
30.032	8.5573e-13	2 2 0 6
31.066	1.1637e-12	2 2 0 7
31.378	1.2784e-12	2 2 0 8
32.811	1.1256e-12	2 2 0 9
32.844	1.1695e-12	2 2 0 10
33.291	1.0534e-12	2 2 0 11
11.669	4.6174e-13	2 2 1 4
19.275	7.7016e-13	2 2 1 5
20.616	7.1313e-13	2 2 1 6
21.649	9.6557e-13	2 2 1 7
21.962	1.0539e-12	2 2 1 8
23.395	9.177e-13	2 2 1 9
23.427	9.6419e-13	2 2 1 10
23.875	8.6497e-13	2 2 1 11
7.8969	2.3758e-13	2 2 2 4
15.503	3.6484e-13	2 2 2 5
16.843	3.7816e-13	2 2 2 6
17.877	4.4942e-13	2 2 2 7
18.189	4.5785e-13	2 2 2 8
19.622	4.151e-13	2 2 2 9
19.655	4.5256e-13	2 2 2 10
20.102	4.2437e-13	2 2 2 11
7.1551	5.977e-13	2 2 3 4
14.761	6.602e-13	2 2 3 5
16.102	1.4042e-13	2 2 3 6
17.135	1.0134e-13	2 2 3 7
17.447	1.9752e-13	2 2 3 8
18.881	5.1866e-13	2 2 3 9
18.913	3.0566e-13	2 2 3 10
19.361	4.0173e-13	2 2 3 11
